date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,2415.77,0,30064.73,
2025-07-19,Operating expenses / household expenses,0,1543.05,28521.68,
2025-08-04,Monthly inflow / salary / sales,2533.77,0,29178.9,
2025-08-18,Operating expenses / household expenses,0,1876.55,27302.34,
2025-09-03,Monthly inflow / salary / sales,2779.73,0,28014.26,
2025-09-17,Operating expenses / household expenses,0,2067.82,25946.44,
2025-10-03,Monthly inflow / salary / sales,2520.22,0,26129.37,
2025-10-17,Operating expenses / household expenses,0,2337.29,23792.07,
2025-11-02,Monthly inflow / salary / sales,2896.54,0,24286.27,
2025-11-16,Operating expenses / household expenses,0,2402.34,21883.93,
2025-12-02,Monthly inflow / salary / sales,2909.57,0,23027.28,
2025-12-16,Operating expenses / household expenses,0,1766.21,21261.07,
