date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,5948.82,0,21620.18,
2025-07-19,Operating expenses / household expenses,0,4485.64,17134.53,
2025-08-04,Monthly inflow / salary / sales,7892.53,0,19896.31,
2025-08-18,Operating expenses / household expenses,0,5130.76,14765.55,
2025-09-03,Monthly inflow / salary / sales,5942.47,0,15169.89,
2025-09-17,Operating expenses / household expenses,0,5538.14,9631.75,
2025-10-03,Monthly inflow / salary / sales,6366.64,0,11309.08,
2025-10-17,Operating expenses / household expenses,0,4689.31,6619.77,
2025-11-02,Monthly inflow / salary / sales,8106.83,0,8661.59,
2025-11-16,Operating expenses / household expenses,0,6065.01,2596.58,
2025-12-02,Monthly inflow / salary / sales,5916.79,0,4620.2,
2025-12-16,Operating expenses / household expenses,0,3893.16,727.04,
