date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,5637.12,0,25874.91,
2025-07-19,Operating expenses / household expenses,0,4086.2,21788.71,
2025-08-04,Monthly inflow / salary / sales,5899.9,0,23226.28,
2025-08-18,Operating expenses / household expenses,0,4462.33,18763.95,
2025-09-03,Monthly inflow / salary / sales,4711.43,0,19594.66,
2025-09-17,Operating expenses / household expenses,0,3880.72,15713.94,
2025-10-03,Monthly inflow / salary / sales,6069.53,0,17839.43,
2025-10-17,Operating expenses / household expenses,0,3944.04,13895.39,
2025-11-02,Monthly inflow / salary / sales,5224.72,0,15830.91,
2025-11-16,Operating expenses / household expenses,0,3289.19,12541.72,
2025-12-02,Monthly inflow / salary / sales,4668.75,0,14348.08,
2025-12-16,Operating expenses / household expenses,0,2862.39,11485.69,
