date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,44707.92,0,22904.05,
2025-07-19,Operating expenses / household expenses,0,36402.87,-13498.82,
2025-08-04,Monthly inflow / salary / sales,48410.46,0,10203.05,
2025-08-18,Operating expenses / household expenses,0,24708.58,-14505.53,
2025-09-03,Monthly inflow / salary / sales,42753.72,0,-7361.12,
2025-09-17,Operating expenses / household expenses,0,35609.32,-42970.44,
2025-10-03,Monthly inflow / salary / sales,49802.82,0,-24408.8,
2025-10-17,Operating expenses / household expenses,0,31241.18,-55649.97,
2025-11-02,Monthly inflow / salary / sales,42805.68,0,-41299.12,
2025-11-16,Operating expenses / household expenses,0,28454.82,-69753.93,
2025-12-02,Monthly inflow / salary / sales,44599.48,0,-48692.33,
2025-12-16,Operating expenses / household expenses,0,23537.87,-72230.2,
