date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,9054.07,0,28934.07,
2025-07-19,Operating expenses / household expenses,0,5999.99,22934.08,
2025-08-04,Monthly inflow / salary / sales,9231.8,0,24635.05,
2025-08-18,Operating expenses / household expenses,0,7530.83,17104.21,
2025-09-03,Monthly inflow / salary / sales,8579.7,0,20599.1,
2025-09-17,Operating expenses / household expenses,0,5084.81,15514.29,
2025-10-03,Monthly inflow / salary / sales,10878.9,0,19715.46,
2025-10-17,Operating expenses / household expenses,0,6677.73,13037.73,
2025-11-02,Monthly inflow / salary / sales,10569.07,0,17756.41,
2025-11-16,Operating expenses / household expenses,0,5850.38,11906.03,
2025-12-02,Monthly inflow / salary / sales,8130.88,0,12377.65,
2025-12-16,Operating expenses / household expenses,0,7659.26,4718.39,
