date,description,credit_usd,debit_usd,balance_usd,flag
2025-07-05,Monthly inflow / salary / sales,32426.16,0,22222.69,
2025-07-19,Operating expenses / household expenses,0,22568.47,-345.77,
2025-08-04,Monthly inflow / salary / sales,93173.37,0,71044.85,unusual_large_deposit
2025-08-18,Operating expenses / household expenses,0,21782.75,49262.1,
2025-09-03,Monthly inflow / salary / sales,38640.2,0,63119.05,
2025-09-17,Operating expenses / household expenses,0,24783.25,38335.8,
2025-10-03,Monthly inflow / salary / sales,31098.63,0,40394.03,
2025-10-17,Operating expenses / household expenses,0,29040.4,11353.63,
2025-11-02,Monthly inflow / salary / sales,67781.76,0,56878.37,unusual_large_deposit
2025-11-16,Operating expenses / household expenses,0,22257.02,34621.34,
2025-12-02,Monthly inflow / salary / sales,39414.74,0,49153.11,
2025-12-16,Operating expenses / household expenses,0,24882.97,24270.14,
